text,speaker
" Im Jake Tapper. Were live at the Ronald Reagan Library in Simi Valley, California for the main event. Round 2 of CNNs presidential debate starts now.",TAPPER
" The eleven leading Republican candidates for president are at their podiums. They are ready to face off, and if youve been watching this race, you know anything could happen over the next few hours.",TAPPER
" To viewers who are just joining us, welcome to the Air Force One Pavilion of the Ronald Reagan Presidential Library. Our thanks to the staff here and especially to former first lady Nancy Reagan for this impressive setting with Ronald Reagans presidential plane as our backdrop.",TAPPER
" This debate is airing on CNN networks in the United States and around the world. Its also being broadcast on the Salem Radio Network. I know everyone is very eager to get started. But first, I want to explain the ground rules tonight. My name is Jake Tapper. Ill be the moderator. I will be joined in the questioning by Salem Radio Network talk show host Hugh Hewitt. He worked in the Reagan administration for six years. And by CNNs chief political correspondent Dana Bash. I will ask follow-up questions, I will attempt to guide the discussion. Candidates, I will try to make sure each of you gets your fair share of questions. Youll have one minute to answer and 30 seconds for follow-ups and rebuttals. Ill give you time to respond if youve been singled out for criticism. Our viewers should know we have timing lights that are visible to the candidates to warn them when their time is up. These 11 Republicans are positioned on the stage based on their ranking in recent national polls.",TAPPER
" Our goal for this evening is a debate. A true debate, with candidates addressing each other in areas where they differ. Where they disagree  on policy, on politics, on leadership. Now, lets begin. Id like to invite each candidate to take 30 seconds to introduce him or herself to our audience. First to you, Senator Paul.",TAPPER
" Good evening, everyone. Im an eye surgeon from Bowling Green, Kentucky. My wife, Kelly, and I have been married for nearly 25 years, and I spend my days defending the Constitution and the Bill of Rights. I think theres nothing more important than understanding that the Constitution restrains government, not the people. Thank you.",PAUL
" Im Mike Huckabee. Im delighted to be on this stage with some remarkable fellow Republicans. None of us are a self-professed socialist. None of us on this state are under investigation by the FBI because we destroyed government records, or because we leaked secrets. I know that there are some in the Wall-Street-to-Washington axis of power who speak of all of us contemptuously. But Im here to say that I think we are, in fact, the A team. We have some remarkable people, and, in fact, not only are we the A team; we even have our own Mr. T, who doesnt mind saying about others, youre a fool. And Im delighted to be here with all of these guys, and would put any of them in an administration that I led. Thank you very much.",HUCKABEE
" Thank you. My name is Marco Rubio. Im from Florida. My wife Jeanette and I are the proud  weve been married 17 years, and were the proud parents of four children, two of whom were able to join us here this evening. Im honored to be here at the Reagan Library, at a place that honors the legacy of a man who inspired not just my interest in public service, but also our love for country. And Im also aware that California has a drought, and so thats why I made sure I brought my own water. (LAUGHTER)",RUBIO
 Senator Cruz?,TAPPER
" Im Ted Cruz. I am the son of an Irish-Italian mom and a Cuban immigrant dad who fled oppression and came to America seeking freedom. Im a husband to my best friend, Heidi, whos here tonight. Im a dad to two little girls who are the loves of my life, Caroline and Catherine. If youre fed up with Washington, if youre looking for someone to stand up to career politicians in both parties, Im the only one on this stage who has done that over and over again, and if we stand together, we can bring America back.",CRUZ
" Hi, Im Ben Carson, and Im a retired pediatric neurosurgeon. Im here with my wife, Candy, of 40 years, and two of my sons, and their wives. I stress the pediatric part of my career because the reason that Ive gotten involved in this race is because Im very concerned about the future of our children, and the direction of our country is one that does not portend well, unless we, the people, intervene and retake our rightful place at the pinnacle.",CARSON
" And I just want to be  make it clear that Im grateful to be here with all of you again, and welcome the addition of Carly Fiorina, as well.",CARSON
" Im Donald Trump. I wrote The Art of the Deal. I say not in a braggadocious way, Ive made billions and billions of dollars dealing with people all over the world, and I want to put whatever that talent is to work for this country so we have great trade deals, we make our country rich again, we make it great again. We build our military, we take care of our vets, we get rid of Obamacare, and we have a great life altogether. Thank you. Thank you.",TRUMP
" Im Jeb Bush, and I believe Americas on the verge of its greatest century, and Im ready to lead. Im a committed, conservative reformer that cut taxes, that balanced budgets, that took on the special interest in Florida, and we won. I look forward to talking tonight about how we can fix a broken Washington D.C., and create an environment where people can rise up again in this great country. Thank you.",BUSH
" Good evening, Im Scott Walker, and tonight, I want to thank and Mrs. Reagan, and the Reagan Library for hosting us. You see, in my lifetime, the greatest president was a governor from California. Ronald Reagan knew how to go big, and go bold. He understood the essence of moving this country forward, and thats what I did when I took on the status quo in my state, and the Washington based special interest. Now, more than ever, America needs a leader who will go big and bold again. Someone whos been tested. Im ready to be that leader. Thank you.",WALKER
