text,speaker
" Good evening, Im Carl Quintanilla, with my colleagues Becky Quick and John Harwood. Well be joined tonight by some of CNBCs top experts on the markets and personal finance.",QUINTANILLA
" Lets get through the rules of the road. Candidates get 30 seconds to answer the opening question, 60 seconds to answer a formal question, 30 seconds for follow-ups and rebuttals, all at the discretion of the moderators. We want you to weigh in from home. Youll see your tweets at the bottom of the screen. Use the hashtag, #cNBCgopdebate. You can also go to cNBC.com/vote to tell us where you stand throughout the night. So lets introduce the candidates for tonights Republican presidential debate. On the stage from left to right, Governor John Kasich. Governor Mike Huckabee. Governor Jeb Bush. Senator Marco Rubio. Mr. Donald Trump. Dr. Ben Carson. Mrs. Carly Fiorina. Senator Ted Cruz. Governor Chris Christie. A lot to get to tonight. So lets get started. This first is an open question. This series of debates is essentially a job interview with the American people. And in any job interview, you know this: you get asked, whats your biggest weakness? So in 30 seconds, without telling us that you try too hard or that youre a perfectionist (LAUGHTER) what is your biggest weakness and what are you doing to address it? Well go left to right. Governor Kasich, 30 seconds.",QUINTANILLA
" Good question, but I want to tell you, my great concern is that we are on the verge, perhaps, of picking someone who cannot do this job. Ive watched to see people say that we should dismantle Medicare and Medicaid and leave the senior citizens out  out in the  in the cold. Ive heard them talk about deporting 10 or 11  people here from this country out of this country, splitting families. Ive heard about tax schemes that dont add up, that put our kids in  in a deeper hole than they are today. We need somebody who can lead. We need somebody who can balance budgets, cut taxes",KASICH
 Governor?,QUINTANILLA
" You know, frankly, I did it in Washington, in Ohio, and I will do it again in Washington, if Im president, to get this country moving again.",KASICH
 country moving again.,KASICH
 Governor Huckabee.,QUINTANILLA
" Well, John, I dont really have any weaknesses that I can think of. (LAUGHTER) But my wife is down here in the front, and Im sure, if youd like to talk to her later, she can give you more than youll ever be able to take care of. If I have a weakness, its that I try to live by the rules. I try to live by the rules, no matter what they are, and I was brought up that way as a kid. Play by the rules. And Ill tell you what a weakness is of this country: there are a lot of people who are sick and tired because Washington does not play by the same rules that the American people have to play by.",HUCKABEE
" Thank you, Governor. Governor Bush.",QUINTANILLA
" You know, I am by my nature impatient. And this is not an endeavor that rewards that. You gotta be patient. You gotta be  stick with it, and all that. But also, I cant fake anger. I believe this is still the most extraordinary country on the face of the Earth. And it troubles me that people are rewarded for tearing down our country. Its never been that way in American politics before.",BUSH
" I cant do it. I just dont believe that this countrys days are going to be deeply  you know, going down. I think were on the verge of the greatest time, and I want to fix the things to let people rise up.",BUSH
 Senator Rubio.,QUINTANILLA
" Thank you for that question. I would begin by saying that Im not sure its a weakness, but I do believe that I share a sense of optimism for Americas future that, today, is eroding from too many of our people. I think theres a sense in this country today that somehow our best days are behind us. And that doesnt have to be true. Our greatest days lie ahead if we are willing to do what it takes now. If were willing to do what it takes now, the 21st century is going to be the new American century, greater than any other era weve had in the history of this great nation.",RUBIO
 Mr. Trump?,QUINTANILLA
" I think maybe my greatest weakness is that I trust people too much. Im too trusting. And when they let me down, if they let me down, I never forgive. I find it very, very hard to forgive people that deceived me. So I dont know if you would call that a weakness, but my wife said let up. (LAUGHTER)",TRUMP
 Dr. Carson?,QUINTANILLA
" Probably in terms of the applying for the job of president, a weakness would be not really seeing myself in that position until hundreds of thousands of people began to tell me that I needed to do it. I do, however, believe in Reagans 11th commandment, and will not be engaging in awful things about my compatriots here. And recognizing that its so important, this election, because were talking about America for the people versus America for the government.",CARSON
 Mrs. Fiorina?,QUINTANILLA
" Well, gee, after the last debate, I was told that I didnt smile enough. (LAUGHTER)",FIORINA
 Fixed it.,QUINTANILLA
" But I also think that these are very serious times; 75 percent of the American people think the federal government is corrupt. I agree with them. And this big powerful, corrupt bureaucracy works now only for the big, the powerful, the wealthy and the well-connected. Meantime, wages have stagnated for 40 years. We have more Americans out of work or just Americans who quit looking for work for 40 years. Ours was intended to be a citizen government. This is about more than replacing a D with an R. We need a leader who will help us take our government back.",FIORINA
 Senator Cruz?,QUINTANILLA
" Im too agreeable, easy going. (LAUGHTER) You know, I think my biggest weakness is exactly the opposite. Im a fighter. I am passionate about what I believe. Ive been passionate my whole life about the Constitution. And, you know, for six-and-a-half years, weve had a gigantic party. If you want someone to grab a beer with, I may not be that guy. But if you want someone to drive you home, I will get the job done and I will get you home.",CRUZ
 Governor Christie?,QUINTANILLA
